OVR;Pos;Rank;Tier;Name;Team;Bye
1;QB;QB1;;Josh Allen;BUF;
2;QB;QB2;;Lamar Jackson;BAL;
3;QB;QB3;;Jayden Daniels;WAS;
4;QB;QB4;;Jalen Hurts;PHI;
5;WR;WR1;;Ja'Marr Chase;CIN;
6;QB;QB5;;Joe Burrow;CIN;
7;WR;WR2;;Justin Jefferson;MIN;
8;WR;WR3;;CeeDee Lamb;DAL;
9;WR;WR4;;Malik Nabers;NYG;
10;RB;RB1;;Bijan Robinson;ATL;
11;WR;WR5;;Puka Nacua;LAR;
12;RB;RB2;;Jahmyr Gibbs;DET;
13;RB;RB3;;Ashton Jeanty;LV;
14;QB;QB6;;Patrick Mahomes;KC;
15;WR;WR6;;Amon-Ra St. Brown;DET;
16;TE;TE1;;Brock Bowers;LV;
17;WR;WR7;;Brian Thomas;JAX;
18;QB;QB7;;Caleb Williams;CHI;
19;QB;QB8;;Drake Maye;NE;
20;WR;WR8;;Nico Collins;HOU;
21;WR;WR9;;Drake London;ATL;
22;QB;QB9;;Justin Herbert;LAC;
23;RB;RB4;;Omarion Hampton;LAC;
24;WR;WR10;;Ladd McConkey;LAC;
25;QB;QB10;;Bo Nix;DEN;
26;TE;TE2;;Trey McBride;ARI;
27;RB;RB5;;Saquon Barkley;PHI;
28;RB;RB6;;De'Von Achane;MIA;
29;WR;WR11;;Jaxon Smith-Njigba;SEA;
30;QB;QB11;;Jordan Love;GB;
31;WR;WR12;;Marvin Harrison;ARI;
32;WR;WR13;;A.J. Brown;PHI;
33;QB;QB12;;Kyler Murray;ARI;
34;QB;QB13;;Brock Purdy;SF;
35;WR;WR14;;Travis Hunter;JAX;
36;WR;WR15;;Rashee Rice;KC;
37;WR;WR16;;Garrett Wilson;NYJ;
38;WR;WR17;;Tetairoa McMillan;CAR;
39;QB;QB14;;C.J. Stroud;HOU;
40;RB;RB7;;Bucky Irving;TB;
41;RB;RB8;;TreVeyon Henderson;NE;
42;WR;WR18;;Tee Higgins;CIN;
43;QB;QB15;;Baker Mayfield;TB;
44;QB;QB16;;Dak Prescott;DAL;
45;RB;RB9;;Breece Hall;NYJ;
46;RB;RB10;;Jonathan Taylor;IND;
47;WR;WR19;;Rome Odunze;CHI;
48;QB;QB17;;Trevor Lawrence;JAX;
49;RB;RB11;;Quinshon Judkins;CLE;
50;WR;WR20;;DeVonta Smith;PHI;
51;RB;RB12;;Kyren Williams;LAR;
52;QB;QB18;;J.J. McCarthy;MIN;
53;QB;QB19;;Cam Ward;TEN;
54;QB;QB20;;Jared Goff;DET;
55;TE;TE3;;Sam LaPorta;DET;
56;RB;RB13;;James Cook;BUF;
57;RB;RB14;;Chase Brown;CIN;
58;RB;RB15;;Josh Jacobs;GB;
59;QB;QB21;;Michael Penix;ATL;
60;WR;WR21;;Zay Flowers;BAL;
61;WR;WR22;;DK Metcalf;PIT;
62;WR;WR23;;Emeka Egbuka;TB;
63;TE;TE4;;George Kittle;SF;
64;WR;WR24;;Chris Olave;NO;
65;WR;WR25;;Xavier Worthy;KC;
66;WR;WR26;;DJ Moore;CHI;
67;WR;WR27;;Jaylen Waddle;MIA;
68;RB;RB16;;Christian McCaffrey;SF;
69;QB;QB22;;Bryce Young;CAR;
70;TE;TE5;;Colston Loveland;CHI;
71;TE;TE6;;Tyler Warren;IND;
72;WR;WR28;;Brandon Aiyuk;SF;
73;WR;WR29;;Jordan Addison;MIN;
74;WR;WR30;;Jameson Williams;DET;
75;WR;WR31;;Terry McLaurin;WAS;
76;WR;WR32;;George Pickens;DAL;
77;WR;WR33;;Matthew Golden;GB;
78;RB;RB17;;RJ Harvey;DEN;
79;RB;RB18;;Kenneth Walker;SEA;
80;TE;TE7;;T.J. Hockenson;MIN;
81;RB;RB19;;Kaleb Johnson;PIT;
82;QB;QB23;;Tua Tagovailoa;MIA;
83;RB;RB20;;Derrick Henry;BAL;
84;WR;WR34;;Tyreek Hill;MIA;
85;WR;WR35;;Chris Godwin;TB;
86;WR;WR36;;Davante Adams;LAR;
87;RB;RB21;;Alvin Kamara;NO;
88;WR;WR37;;Josh Downs;IND;
89;RB;RB22;;Joe Mixon;HOU;
90;QB;QB24;;Jaxson Dart;NYG;
91;RB;RB23;;Chuba Hubbard;CAR;
92;WR;WR38;;Jerry Jeudy;CLE;
93;TE;TE8;;David Njoku;CLE;
94;WR;WR39;;Ricky Pearsall;SF;
95;WR;WR40;;Courtland Sutton;DEN;
96;TE;TE9;;Tucker Kraft;GB;
97;WR;WR41;;Mike Evans;TB;
98;WR;WR42;;Tre Harris;LAC;
99;WR;WR43;;Jayden Reed;GB;
100;RB;RB24;;James Conner;ARI;
101;WR;WR44;;Khalil Shakir;BUF;
102;QB;QB25;;Geno Smith;LV;
103;WR;WR45;;Jayden Higgins;HOU;
104;RB;RB25;;Cam Skattebo;NYG;
105;QB;QB26;;Sam Darnold;SEA;
106;QB;QB27;;Justin Fields;NYJ;
107;RB;RB26;;David Montgomery;DET;
108;RB;RB27;;D'Andre Swift;CHI;
109;WR;WR46;;Luther Burden;CHI;
110;WR;WR47;;Michael Pittman;IND;
111;TE;TE10;;Mark Andrews;BAL;
112;RB;RB28;;Tony Pollard;TEN;
113;RB;RB29;;Brian Robinson;WAS;
114;RB;RB30;;Aaron Jones;MIN;
115;TE;TE11;;Dalton Kincaid;BUF;
116;WR;WR48;;Calvin Ridley;TEN;
117;WR;WR49;;Kyle Williams;NE;
118;WR;WR50;;Jakobi Meyers;LV;
119;WR;WR51;;Jack Bech;LV;
120;QB;QB28;;Matthew Stafford;LAR;
121;WR;WR52;;Jauan Jennings;SF;
122;RB;RB31;;Isiah Pacheco;KC;
123;WR;WR53;;Stefon Diggs;NE;
124;RB;RB32;;Tyrone Tracy;NYG;
125;QB;QB29;;Anthony Richardson;IND;
126;WR;WR54;;Cooper Kupp;SEA;
127;WR;WR55;;Deebo Samuel;WAS;
128;RB;RB33;;Zach Charbonnet;SEA;
129;TE;TE12;;Evan Engram;DEN;
130;WR;WR56;;Darnell Mooney;ATL;
131;RB;RB34;;Trey Benson;ARI;
132;RB;RB35;;Bhayshul Tuten;JAX;
133;WR;WR57;;Keon Coleman;BUF;
134;TE;TE13;;Kyle Pitts;ATL;
135;WR;WR58;;Jaylin Noel;HOU;
136;RB;RB36;;Tyjae Spears;TEN;
137;RB;RB37;;Jaylen Warren;PIT;
138;RB;RB38;;Najee Harris;LAC;
139;RB;RB39;;Rhamondre Stevenson;NE;
140;QB;QB30;;Tyler Shough;NO;
141;RB;RB40;;Travis Etienne;JAX;
142;RB;RB41;;Jaydon Blue;DAL;
143;TE;TE14;;Jonnu Smith;PIT;
144;RB;RB42;;Rachaad White;TB;
145;RB;RB43;;Jordan Mason;MIN;
146;RB;RB44;;Dylan Sampson;CLE;
147;TE;TE15;;Dallas Goedert;PHI;
148;TE;TE16;;Mason Taylor;NYJ;
149;TE;TE17;;Travis Kelce;KC;
150;TE;TE18;;Jake Ferguson;DAL;
151;WR;WR59;;Rashid Shaheed;NO;
152;TE;TE19;;Terrance Ferguson;LAR;
153;RB;RB45;;Tank Bigsby;JAX;
154;RB;RB46;;Javonte Williams;DAL;
155;WR;WR60;;Xavier Legette;CAR;
156;WR;WR61;;Rashod Bateman;BAL;
157;QB;QB31;;Jalen Milroe;SEA;
158;TE;TE20;;Elijah Arroyo;SEA;
159;WR;WR62;;Jalen Coker;CAR;
160;WR;WR63;;Elic Ayomanor;TEN;
161;TE;TE21;;Harold Fannin;CLE;
162;WR;WR64;;Adonai Mitchell;IND;
163;WR;WR65;;Cedric Tillman;CLE;
164;QB;QB32;;Daniel Jones;IND;
165;TE;TE22;;Isaiah Likely;BAL;
166;RB;RB47;;Braelon Allen;NYJ;
167;WR;WR66;;Marquise Brown;KC;
168;WR;WR67;;Jalen McMillan;TB;
169;QB;QB33;;Aaron Rodgers;PIT;
170;TE;TE23;;Pat Freiermuth;PIT;
171;RB;RB48;;J.K. Dobbins;DEN;
172;WR;WR68;;Jalen Royals;KC;
173;WR;WR69;;Quentin Johnston;LAC;
174;QB;QB34;;Russell Wilson;NYG;
175;WR;WR70;;Christian Kirk;HOU;
176;WR;WR71;;Pat Bryant;DEN;
177;RB;RB49;;Ray Davis;BUF;
178;QB;QB35;;Shedeur Sanders;CLE;
179;WR;WR72;;Christian Watson;GB;
180;WR;WR73;;Dontayvion Wicks;GB;
181;RB;RB50;;Jarquez Hunter;LAR;
182;RB;RB51;;DJ Giddens;IND;
183;RB;RB52;;Jaylen Wright;MIA;
184;RB;RB53;;Blake Corum;LAR;
185;RB;RB54;;Isaac Guerendo;SF;
186;RB;RB55;;Tahj Brooks;CIN;
187;RB;RB56;;Devin Neal;NO;
188;WR;WR74;;Savion Williams;GB;
189;WR;WR75;;Keenan Allen;FA;
190;WR;WR76;;Marvin Mims;DEN;
191;WR;WR77;;Diontae Johnson;CLE;
192;WR;WR78;;Romeo Doubs;GB;
193;WR;WR79;;Wan'Dale Robinson;NYG;
194;QB;QB36;;Kirk Cousins;ATL;
195;TE;TE24;;Hunter Henry;NE;
196;WR;WR80;;Tory Horton;SEA;
197;WR;WR81;;Amari Cooper;FA;
198;WR;WR82;;Nathaniel Dell;HOU;
199;RB;RB57;;Tyler Allgeier;ATL;
200;WR;WR83;;DeMario Douglas;NE;
201;RB;RB58;;MarShawn Lloyd;GB;
202;RB;RB59;;Jonathon Brooks;CAR;
203;WR;WR84;;Devaughn Vele;DEN;
204;RB;RB60;;Brashard Smith;KC;
205;QB;QB37;;Dillon Gabriel;CLE;
206;TE;TE25;;Cade Otton;TB;
207;WR;WR85;;DeAndre Hopkins;BAL;
208;WR;WR86;;Troy Franklin;DEN;
209;WR;WR87;;Isaac TeSlaa;DET;
210;RB;RB61;;Rico Dowdle;CAR;
211;WR;WR88;;Gabe Davis;JAX;
212;TE;TE26;;Brenton Strange;JAX;
213;WR;WR89;;Alec Pierce;IND;
214;TE;TE27;;Ja'Tavion Sanders;CAR;
215;WR;WR90;;Michael Wilson;ARI;
216;WR;WR91;;Xavier Restrepo;FA;
217;WR;WR92;;Roman Wilson;PIT;
218;RB;RB62;;Trevor Etienne;CAR;
219;RB;RB63;;Jordan James;SF;
220;RB;RB64;;Woody Marks;HOU;
221;WR;WR93;;Joshua Palmer;BUF;
222;TE;TE28;;Ben Sinnott;WAS;
223;WR;WR94;;Isaiah Bond;FA;
224;RB;RB65;;Audric Estime;DEN;
225;QB;QB38;;Will Howard;PIT;
226;TE;TE29;;Cole Kmet;CHI;
227;RB;RB66;;Kendre Miller;NO;
228;WR;WR95;;Adam Thielen;CAR;
229;WR;WR96;;Jalen Tolbert;DAL;
230;RB;RB67;;Austin Ekeler;WAS;
231;TE;TE30;;Gunnar Helm;TEN;
232;RB;RB68;;Roschon Johnson;CHI;
233;TE;TE31;;Dalton Schultz;HOU;
234;QB;QB39;;Deshaun Watson;CLE;
235;WR;WR97;;Ja'Lynn Polk;NE;
236;TE;TE32;;Zach Ertz;WAS;
237;RB;RB69;;Damien Martinez;SEA;
238;TE;TE33;;Mike Gesicki;CIN;
239;TE;TE34;;Luke Lachey;HOU;
240;QB;QB40;;Will Levis;TEN;
241;WR;WR98;;Elijah Moore;FA;
242;RB;RB70;;Nick Chubb;HOU;
243;WR;WR99;;Dyami Brown;JAX;
244;WR;WR100;;Jordan Whittington;LAR;
245;WR;WR101;;Mike Williams;LAC;
246;WR;WR102;;Parker Washington;JAX;
247;RB;RB71;;Kyle Monangai;CHI;
248;TE;TE35;;Michael Mayer;LV;
249;QB;QB41;;Joe Flacco;CLE;
250;RB;RB72;;Jerome Ford;CLE;
251;WR;WR103;;Andrei Iosivas;CIN;
252;RB;RB73;;Ollie Gordon;MIA;
253;TE;TE36;;Noah Gray;KC;
254;TE;TE37;;Luke Musgrave;GB;
255;WR;WR104;;Tez Johnson;TB;
256;WR;WR105;;Malik Washington;MIA;
257;WR;WR106;;Dont'e Thornton Jr.;LV;
258;TE;TE38;;Chig Okonkwo;TEN;
259;WR;WR107;;Kayshon Boutte;NE;
260;TE;TE39;;Juwan Johnson;NO;
261;TE;TE40;;Theo Johnson;NYG;
262;QB;QB42;;Mason Rudolph;PIT;
263;WR;WR108;;Chimere Dike;TEN;
264;RB;RB74;;Justice Hill;BAL;
265;WR;WR109;;Tai Felton;MIN;
266;TE;TE41;;Darren Waller;MIA;
267;QB;QB43;;Jameis Winston;NYG;
268;RB;RB75;;Kareem Hunt;KC;
269;WR;WR110;;Malachi Corley;NYJ;
270;QB;QB44;;Quinn Ewers;MIA;
271;WR;WR111;;Tyler Lockett;TEN;
272;WR;WR112;;Jermaine Burton;CIN;
273;WR;WR113;;Brandin Cooks;NO;
274;RB;RB76;;Isaiah Davis;NYJ;
275;RB;RB77;;Keaton Mitchell;BAL;
276;QB;QB45;;Spencer Rattler;NO;
277;WR;WR114;;Luke McCaffrey;WAS;
278;WR;WR115;;Curtis Samuel;BUF;
279;RB;RB78;;Devin Singletary;NYG;
280;TE;TE42;;Taysom Hill;NO;
281;RB;RB79;;Jaleel McLaughlin;DEN;
282;TE;TE43;;Oronde Gadsden;LAC;
283;RB;RB80;;Zack Moss;CIN;
284;WR;WR116;;Tyquan Thornton;KC;
285;WR;WR117;;Jaylin Lane;WAS;
286;RB;RB81;;Sean Tucker;TB;
287;QB;QB46;;Sam Howell;MIN;
288;WR;WR118;;Calvin Austin;PIT;
289;WR;WR119;;Javon Baker;NE;
290;RB;RB82;;Antonio Gibson;NE;
